0.08346;-0.51305
0.08469;-0.51301
0.08665;-0.51276
0.08827;-0.51238
0.09033;-0.51164
0.09203;-0.51081
0.09354;-0.50985
0.09473;-0.50893
0.09571;-0.50837
0.09610;-0.50765
0.09679;-0.50684
0.09752;-0.50573
0.09807;-0.50459
0.09842;-0.50352
0.09888;-0.50184
0.09933;-0.50016
0.09996;-0.49825
0.10043;-0.49723
0.10118;-0.49593
0.10171;-0.49516
0.10270;-0.49398
0.10365;-0.49305
0.10487;-0.49207
0.10582;-0.49145
0.10726;-0.49063
0.10904;-0.48973
0.11132;-0.48874
0.11337;-0.48800
0.11436;-0.48768
0.11634;-0.48714
0.11854;-0.48667
0.12063;-0.48635
0.12248;-0.48617
0.12356;-0.48610
0.13204;-0.48568
0.14149;-0.48521
0.15862;-0.48435
0.16842;-0.48386
0.17923;-0.48332
0.18898;-0.48283
0.19367;-0.48260
0.19823;-0.48169
0.20104;-0.48036
0.20266;-0.47925
0.20438;-0.47769
0.20576;-0.47603
0.20715;-0.47370
0.20788;-0.47195
0.20850;-0.46959
0.20876;-0.46674
